Name,ProductGroup,SKU,May,June,July,August,september,Quantity,Price,LEAD TIME,THRESHOLD VALUE,TotalSales,2025-10,Cluster,Deadstock
PROLIFIC SPECIALIZED SHAMPOO - FIPRONIL GALLON,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0066,0,0.0,0,0,0,0.0,449.0,18,3,940.0,0,0,1
PROLIFIC SPECIALIZED SHAMPOO - MDC 250ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0067,5,1.0,4,1,0,2.0,150.0,18,7,376.0,0,0,1
PROLIFIC SPECIALIZED SHAMPOO - MDC 500ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0068,0,0.0,0,0,0,0.0,250.0,18,3,542.0,0,0,1
PROLIFIC SPECIALIZED SHAMPOO - MDC GALLON,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0069,0,0.0,0,0,0,0.0,449.0,18,3,940.0,0,0,1
PROLIFIC SPECIALIZED SHAMPOO - OATMEAL 250ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0070,0,0.0,1,1,0,19.0,150.0,18,4,386.0,0,0,1
PROLIFIC SPECIALIZED SHAMPOO - OATMEAL 500ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0071,0,1.0,0,1,0,-1.0,250.0,18,4,546.0,0,0,1
PROLIFIC SPECIALIZED SHAMPOO - OATMEAL GALLON,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0072,0,0.0,0,0,0,0.0,449.0,18,3,940.0,0,0,1
PROLIFIC SULFUR SOAP 135G,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0073,0,0.0,0,0,0,0.0,45.0,18,3,132.0,0,0,1
TICK BUSTER FIPRONIL SPRAY 200ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0074,0,0.0,0,0,0,0.0,139.0,18,3,320.0,0,0,1
ST. GERTIE CAT DRY SHAMPOO 128G,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0075,1,2.0,0,0,5,0.0,160.0,18,5,382.0,0,0,1
ST. GERTIE CAT SHAMPOO 250ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0076,0,2.0,4,1,6,4.0,230.0,19,8,548.0,0,0,1
ST. ROCHE CONDITIONER 500ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0077,1,0.0,1,2,1,4.0,395.0,15,4,846.0,0,0,1
ST. ROCHE DETANGLING AND DEMATTING SPRAY FOR DOGS 318ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0078,0,0.0,0,1,0,6.0,320.0,15,3,690.0,0,0,1
ST. ROCHE DOG SOAP 135G,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0079,1,2.0,0,1,0,7.0,150.0,15,4,360.0,0,0,1
ST. ROCHE SHAMPOO 250ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0080,4,1.0,2,3,2,28.0,230.0,15,8,586.0,0,0,1
ST. ROCHE SHAMPOO 628ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0081,0,0.0,0,0,0,0.0,420.0,15,3,876.0,0,0,1
VETCORE /VETS CHOICE 2-IN-1 FUR SPRAY,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0082,0,0.0,0,0,0,0.0,90.0,15,3,216.0,0,0,1
VETCORE ACTIVE SHAMPOO 400ML,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0083,0,0.0,0,0,0,0.0,280.0,15,3,596.0,0,0,1
VETCORE ACTIVE SOAP 135G,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0084,3,7.0,0,0,0,0.0,230.0,15,7,524.0,0,0,1
VETCORE HERBAL SOAP 120G,"SHAMPOO, SOAP, AND GROOMING SOLUTION",SSG0085,16,11.0,9,17,6,44.0,190.0,15,16,648.0,0,0,1
