Year,Month,Name,ProductGroup,SKU,Quantity,QuantitySold,Price,LeadTime,Threshold,PredictedThreshold
2025,Jun,CAT BUNK HAMMOCK CBH 38X38X37CM,PET BEDS,B31,,0,580,15,3,10.872336
2025,Jul,CAT BUNK HAMMOCK CBH 38X38X37CM,PET BEDS,B31,,1,580,15,3,10.872336
2025,Aug,CAT BUNK HAMMOCK CBH 38X38X37CM,PET BEDS,B31,,1,580,15,3,10.872336
2025,Sep,CAT BUNK HAMMOCK CBH 38X38X37CM,PET BEDS,B31,,5,580,15,3,10.872336
2025,May,PET BED PVC ICE GEL OVAL  ICE PAD 70X50CM,PET BEDS,B32,,0,480,15,3,11.016979
2025,Jun,PET BED PVC ICE GEL OVAL  ICE PAD 70X50CM,PET BEDS,B32,,0,480,15,3,11.016979
2025,Jul,PET BED PVC ICE GEL OVAL  ICE PAD 70X50CM,PET BEDS,B32,,0,480,15,3,11.016979
2025,Aug,PET BED PVC ICE GEL OVAL  ICE PAD 70X50CM,PET BEDS,B32,,0,480,15,3,11.016979
2025,Sep,PET BED PVC ICE GEL OVAL  ICE PAD 70X50CM,PET BEDS,B32,,1,480,15,3,11.016979
2025,May,SOFT FLAT MAT BED  WASHABLE SFM,PET BEDS,B34,,0,220,13,3,9.202015
2025,Jun,SOFT FLAT MAT BED  WASHABLE SFM,PET BEDS,B34,,0,220,13,3,9.202015
2025,Jul,SOFT FLAT MAT BED  WASHABLE SFM,PET BEDS,B34,,0,220,13,3,9.202015
2025,Aug,SOFT FLAT MAT BED  WASHABLE SFM,PET BEDS,B34,,0,220,13,3,9.202015
2025,Sep,SOFT FLAT MAT BED  WASHABLE SFM,PET BEDS,B34,,1,220,13,3,9.202015
2025,May,PET CLOTHES SLIP ON BANDANA WITH COLLAR,CLOTHES AND FASHION ACCESSORIES,C01,1,0,220,14,3,10.392831
2025,Jun,PET CLOTHES SLIP ON BANDANA WITH COLLAR,CLOTHES AND FASHION ACCESSORIES,C01,1,0,220,14,3,10.392831
2025,Jul,PET CLOTHES SLIP ON BANDANA WITH COLLAR,CLOTHES AND FASHION ACCESSORIES,C01,1,0,220,14,3,10.392831
2025,Aug,PET CLOTHES SLIP ON BANDANA WITH COLLAR,CLOTHES AND FASHION ACCESSORIES,C01,1,0,220,14,3,10.392831
2025,Sep,PET CLOTHES SLIP ON BANDANA WITH COLLAR,CLOTHES AND FASHION ACCESSORIES,C01,1,0,220,14,3,10.392831
2025,May,PRINTED SHOES ALL SIZES,CLOTHES AND FASHION ACCESSORIES,C02,5,1,220,14,3,10.392831
2025,Jun,PRINTED SHOES ALL SIZES,CLOTHES AND FASHION ACCESSORIES,C02,5,1,220,14,3,10.392831
2025,Jul,PRINTED SHOES ALL SIZES,CLOTHES AND FASHION ACCESSORIES,C02,5,1,220,14,3,10.392831
2025,Aug,PRINTED SHOES ALL SIZES,CLOTHES AND FASHION ACCESSORIES,C02,5,0,220,14,3,10.392831
2025,Sep,PRINTED SHOES ALL SIZES,CLOTHES AND FASHION ACCESSORIES,C02,5,0,220,14,3,10.392831
2025,May,HIPIDOG BIGDOG SHOES,CLOTHES AND FASHION ACCESSORIES,C03,11,0,180,14,3,10.341721
2025,Jun,HIPIDOG BIGDOG SHOES,CLOTHES AND FASHION ACCESSORIES,C03,11,0,180,14,3,10.341721
2025,Jul,HIPIDOG BIGDOG SHOES,CLOTHES AND FASHION ACCESSORIES,C03,11,0,180,14,3,10.341721
2025,Aug,HIPIDOG BIGDOG SHOES,CLOTHES AND FASHION ACCESSORIES,C03,11,1,180,14,3,10.341721
2025,Sep,HIPIDOG BIGDOG SHOES,CLOTHES AND FASHION ACCESSORIES,C03,11,1,180,14,3,10.341721
2025,May,PET CLOTHES HOODIE CUSTOME WITH EARS S/M/L,CLOTHES AND FASHION ACCESSORIES,C04,0,0,325,14,3,10.564549
2025,Jun,PET CLOTHES HOODIE CUSTOME WITH EARS S/M/L,CLOTHES AND FASHION ACCESSORIES,C04,0,0,325,14,3,10.564549
2025,Jul,PET CLOTHES HOODIE CUSTOME WITH EARS S/M/L,CLOTHES AND FASHION ACCESSORIES,C04,0,0,325,14,3,10.564549
2025,Aug,PET CLOTHES HOODIE CUSTOME WITH EARS S/M/L,CLOTHES AND FASHION ACCESSORIES,C04,0,0,325,14,3,10.564549
2025,Sep,PET CLOTHES HOODIE CUSTOME WITH EARS S/M/L,CLOTHES AND FASHION ACCESSORIES,C04,0,0,325,14,3,10.564549
2025,May,PET CLOTHES PINK DRESS  LARGE,CLOTHES AND FASHION ACCESSORIES,C05,0,0,350,14,3,10.60688
2025,Jun,PET CLOTHES PINK DRESS  LARGE,CLOTHES AND FASHION ACCESSORIES,C05,0,0,350,14,3,10.60688
2025,Jul,PET CLOTHES PINK DRESS  LARGE,CLOTHES AND FASHION ACCESSORIES,C05,0,0,350,14,3,10.60688
2025,Aug,PET CLOTHES PINK DRESS  LARGE,CLOTHES AND FASHION ACCESSORIES,C05,0,0,350,14,3,10.60688
2025,Sep,PET CLOTHES PINK DRESS  LARGE,CLOTHES AND FASHION ACCESSORIES,C05,0,0,350,14,3,10.60688
2025,May,PET CLOTHES PINK DRESS  SMALL,CLOTHES AND FASHION ACCESSORIES,C06,0,0,320,7,3,5.496634
2025,Jun,PET CLOTHES PINK DRESS  SMALL,CLOTHES AND FASHION ACCESSORIES,C06,0,0,320,7,3,5.496634
