Name,ProductGroup,SKU,May,June,July,August,september,Quantity,Price,LEAD TIME,THRESHOLD VALUE,PredictedThreshold,RestockNeeded
CAT PET CAGE 2 LAYERS,"CARRIER, CAGE, AND PLAYPENS",CCP0030,0,0.0,0,0,0,0.0,1820.0,5,3,13.266194766194765,True
COLLAPSIBLE CAT CAGE - 2 XL,"CARRIER, CAGE, AND PLAYPENS",CCP0031,0,0.0,0,0,0,0.0,1550.0,5,3,13.462676962676962,True
COLLAPSIBLE CAT CAGE - 3 XL,"CARRIER, CAGE, AND PLAYPENS",CCP0032,0,0.0,0,0,0,0.0,2050.0,5,3,12.339339339339336,True
COLLAPSIBLE CAT CAGE - LARGE,"CARRIER, CAGE, AND PLAYPENS",CCP0033,0,0.0,0,0,0,0.0,1280.0,5,3,21.8028743028743,True
CAGE MAT,"CARRIER, CAGE, AND PLAYPENS",CCP0034,0,0.0,0,0,0,0.0,0.0,5,3,18.112612612612615,True
CHINA COLLAPSIBLE CAGE - L,"CARRIER, CAGE, AND PLAYPENS",CCP0035,0,2.0,1,1,1,4.0,1100.0,5,3,18.02016302016302,True
CHINA COLLAPSIBLE CAGE - M,"CARRIER, CAGE, AND PLAYPENS",CCP0036,0,2.0,4,1,0,6.0,850.0,5,3,9.874517374517374,True
CHINA COLLAPSIBLE CAGE - S,"CARRIER, CAGE, AND PLAYPENS",CCP0037,0,0.0,0,0,0,0.0,480.0,5,3,20.674174174174173,True
HD LOCAL COLLAPSIBLE CAGE - 2XL,"CARRIER, CAGE, AND PLAYPENS",CCP0038,2,2.0,1,2,2,8.0,1700.0,5,4,12.743672243672243,True
HD LOCAL COLLAPSIBLE CAGE - 3XL,"CARRIER, CAGE, AND PLAYPENS",CCP0039,0,0.0,2,0,0,5.0,2500.0,5,3,11.747747747747749,True
HD LOCAL COLLAPSIBLE CAGE - L,"CARRIER, CAGE, AND PLAYPENS",CCP0040,0,0.0,2,3,2,8.0,1200.0,5,4,12.385671385671385,True
HD LOCAL COLLAPSIBLE CAGE - M,"CARRIER, CAGE, AND PLAYPENS",CCP0041,0,0.0,0,0,1,8.0,850.0,5,3,12.884384384384385,True
HD LOCAL COLLAPSIBLE CAGE - XL,"CARRIER, CAGE, AND PLAYPENS",CCP0042,2,0.0,0,0,2,8.0,1320.0,5,3,8.288288288288289,True
LOCAL PLAYPEN 6 PANELS - SMALL,"CARRIER, CAGE, AND PLAYPENS",CCP0043,1,1.0,0,0,0,4.0,1750.0,5,3,9.968468468468469,True
LOCAL PLAYPEN 8 PANELS - MEDIUM,"CARRIER, CAGE, AND PLAYPENS",CCP0044,0,1.0,0,0,0,0.0,2200.0,5,3,7.385671385671385,True
PAWSMART COLLAPSIBLE CAGE - 3XL,"CARRIER, CAGE, AND PLAYPENS",CCP0045,0,0.0,0,0,0,0.0,1800.0,5,3,15.415272415272415,True
TRAVEL CRATES  - S,"CARRIER, CAGE, AND PLAYPENS",CCP0046,3,1.0,2,5,0,2.0,950.0,5,4,14.112612612612615,True
TRAVEL CRATES - 2XL,"CARRIER, CAGE, AND PLAYPENS",CCP0047,1,1.0,0,0,0,0.0,2800.0,5,3,11.851136851136852,True
TRAVEL CRATES - 3XL,"CARRIER, CAGE, AND PLAYPENS",CCP0048,0,0.0,0,0,0,0.0,3500.0,5,3,14.462676962676962,True
TRAVEL CRATES - L,"CARRIER, CAGE, AND PLAYPENS",CCP0049,0,0.0,4,0,0,2.0,1900.0,5,3,16.532175032175033,True
TRAVEL CRATES - M,"CARRIER, CAGE, AND PLAYPENS",CCP0050,0,1.0,1,2,1,7.0,1600.0,5,4,6.589232089232089,False
TRAVEL CRATES - XL,"CARRIER, CAGE, AND PLAYPENS",CCP0051,1,0.0,1,0,1,3.0,2200.0,5,3,11.976190476190476,True
TRAVEL CRATES - XS,"CARRIER, CAGE, AND PLAYPENS",CCP0052,2,2.0,0,0,0,0.0,850.0,5,3,8.865722865722867,True
CLEAR SLING BAG - PC05M,"CARRIER, CAGE, AND PLAYPENS",CCP0053,2,5.0,1,1,1,2.0,850.0,5,4,11.58923208923209,True
CAT CONDO 5LAYERS BLUE 2320,"CARRIER, CAGE, AND PLAYPENS",CCP0054,0,0.0,0,0,0,1.0,3500.0,3,3,8.700986700986702,True
CAT CONDO 5 LAYERS WITH SOFA Y23,"CARRIER, CAGE, AND PLAYPENS",CCP0055,0,0.0,0,0,0,1.0,3200.0,10,3,30.78078078078078,True
CAT CONDO 5 LAYERS WITH TENT HOUSE Y19,"CARRIER, CAGE, AND PLAYPENS",CCP0056,0,0.0,0,0,0,1.0,2800.0,3,3,10.083655083655085,True
LV LUX BACKPACK PET CARRIER WITH CATROON STICKERS,"CARRIER, CAGE, AND PLAYPENS",CCP0057,0,0.0,1,1,1,2.0,1100.0,10,3,32.33097383097383,True
CAT VILLA GLASS DOOR CAT CABINET 100CMX60CMX60CM,"CARRIER, CAGE, AND PLAYPENS",CCP0058,0,0.0,0,0,0,2.0,6400.0,10,3,25.658730158730165,True
PAWSMART HEAVY DUTY PLAYPEN 6PANELS,"CARRIER, CAGE, AND PLAYPENS",CCP0059,0,0.0,0,0,1,1.0,1750.0,10,3,24.28828828828829,True
PAWSMART HEAVY DUTY PLAYPEN - 8PANELS,"CARRIER, CAGE, AND PLAYPENS",CCP0060,0,0.0,0,0,0,0.0,2280.0,10,3,24.96846846846847,True
